# ExperimentSet [id=resultsExperiments/timelinessDisruption/V16E2D5.0N100TargetRandomServerNodes, localProcessingTime=50.0, masterSeed=123456, meanArrival=25.0, messageDelay=5.0, nEdges=2, nNodes=16, runNumber=100, targetComponent=null]
Target,Seed,ReqTime, quiescenceTime,deltaQT, vcFreenessTime,deltaFT, workWhenFreenessF, workWhenFreenessM, workWhenQuiescenceM, workWhenQuiescenceQ, workWhenRequestF, workWhenRequestM, workWhenRequestQ, lossWorkByQu, lossWorkByVC
C9,-612012627,250.0,875.45013,625.45013,875.45013,625.45013,68944.86,78327.66,78327.66,66916.1,14404.693,14404.692,14404.692,11411.555,9382.801
C8,1996655901,250.0,2370.58,2120.58,2333.3425,2083.3425,184241.11,390010.62,396848.56,114031.67,14342.572,14342.572,14342.572,282816.9,205769.53
C10,-1298180151,250.0,901.47656,651.47656,905.06866,655.06866,65135.074,73210.17,72889.24,63351.113,12989.675,12989.675,12989.675,9538.129,8075.0977
C1,80545937,250.0,482.92227,232.92227,465.06818,215.06818,33383.09,35555.42,37436.414,33110.625,14108.286,14108.287,14108.285,4325.787,2172.33
C10,-712186726,250.0,812.1123,562.1123,652.0107,402.01068,52073.72,55411.082,72054.055,65031.945,14888.597,14888.599,14888.599,7022.1094,3337.3633
C3,1734157801,250.0,742.2496,492.24957,488.5629,238.5629,34354.824,36328.836,63438.484,53185.4,13526.864,13526.864,13526.864,10253.086,1974.0117
C4,1758599912,250.0,1414.943,1164.943,679.71436,429.71436,57504.54,63839.2,157150.66,100072.945,13306.366,13306.366,13306.365,57077.72,6334.66
C6,1220024408,250.0,1856.9618,1606.9618,1591.3446,1341.3446,102678.0,186407.53,225248.06,68647.85,14179.042,14179.042,14179.041,156600.2,83729.52
C3,110083800,250.0,1880.3344,1630.3344,1867.8674,1617.8674,151666.12,241998.36,243773.39,67223.42,12242.16,12242.16,12242.158,176549.97,90332.234
C1,-2135800093,250.0,811.03064,561.03064,511.5033,261.5033,45112.406,48435.477,86494.58,60487.582,16191.555,16191.555,16191.555,26006.996,3323.0703
C4,1702456891,250.0,1082.1357,832.13574,1092.1866,842.18665,86026.664,114027.15,112903.62,60253.51,13681.512,13681.513,13681.513,52650.1,28000.477
C3,-503307268,250.0,867.88354,617.88354,541.9868,291.98682,29481.814,36522.016,64847.21,37717.984,12365.929,12365.929,12365.929,27129.227,7040.199
C2,1213087600,250.0,1009.06433,759.06433,927.7024,677.7024,67947.45,88059.734,97349.766,53827.066,14361.371,14361.371,14361.371,43522.695,20112.277
C7,-1081705337,250.0,1388.2815,1138.2815,1287.888,1037.888,121075.03,146885.06,159434.06,118379.32,14769.102,14769.102,14769.103,41054.75,25810.04
C7,-2965150,250.0,2070.6863,1820.6863,2058.2515,1808.2515,163154.36,259042.03,261026.45,137776.34,12815.019,12815.019,12815.019,123250.11,95887.67
C3,-1128452549,250.0,1135.1285,885.12854,728.19244,478.19244,42928.9,55439.492,92233.1,39188.67,11802.016,11802.016,11802.016,53044.43,12510.594
C13,-528027027,250.0,2978.658,2728.658,2886.641,2636.641,367436.84,491857.28,508977.06,374545.03,14155.852,14155.852,14155.852,134432.03,124420.44
C11,1980218242,250.0,778.0753,528.0753,474.4296,224.4296,32388.043,33349.8,69522.445,64889.746,12866.25,12866.25,12866.25,4632.699,961.7578
C3,-1577489105,250.0,724.5911,474.59113,622.55817,372.55817,37186.074,48055.773,58661.637,31932.508,14763.556,14763.556,14763.556,26729.129,10869.699
C8,468501319,250.0,1084.4094,834.4094,1084.0425,834.0425,82883.28,93035.94,93069.625,81315.66,13796.8125,13796.8125,13796.8125,11753.969,10152.656
C1,-1869548146,250.0,902.25354,652.25354,631.21594,381.21594,46371.336,63080.242,92346.46,39215.33,14848.739,14848.738,14848.739,53131.13,16708.906
C1,-1409282735,250.0,2735.8042,2485.8042,1815.4314,1565.4314,224405.95,288854.47,472637.72,256265.22,15215.877,15215.876,15215.875,216372.5,64448.516
C3,159747449,250.0,492.59656,242.59656,485.75787,235.75787,32429.863,33958.793,34635.816,31997.41,11629.02,11629.02,11629.02,2638.4062,1528.9297
C4,2084122642,250.0,1090.1786,840.1786,791.9842,541.9842,67944.734,75634.375,112597.19,81964.445,13609.2,13609.201,13609.201,30632.742,7689.6367
C3,176527414,250.0,1512.1967,1262.1967,938.337,688.337,74372.71,96005.586,171203.45,87842.375,13643.563,13643.563,13643.566,83361.08,21632.875
C2,1949557543,250.0,713.4319,463.4319,350.81262,100.81262,23976.734,24215.29,61448.8,55130.44,14103.376,14103.376,14103.376,6318.3594,238.55469
C14,-2124536784,250.0,614.1828,364.1828,609.5172,359.5172,45359.87,47953.582,48416.145,44757.477,11673.348,11673.347,11673.348,3658.668,2593.711
C7,-1402574388,250.0,1313.7239,1063.7239,948.1047,698.1047,77278.766,89373.586,128799.2,95435.69,13235.748,13235.747,13235.747,33363.516,12094.82
C1,357533351,250.0,1245.8175,995.8175,1080.2588,830.2588,75225.445,117941.0,139728.52,38966.85,12518.829,12518.828,12518.828,100761.664,42715.555
C3,-745000173,250.0,1125.5719,875.5719,677.75836,427.75836,51513.133,54727.996,106241.69,78030.19,12878.937,12878.937,12878.937,28211.5,3214.8633
C4,119658930,250.0,1174.4178,924.41785,1187.3596,937.3596,104634.13,144582.03,142688.6,78128.4,14067.11,14067.11,14067.111,64560.195,39947.9
C5,-47748695,250.0,787.5729,537.5729,786.2983,536.2983,58521.38,63028.64,63163.582,56625.43,13717.742,13717.742,13717.742,6538.1523,4507.2617
C3,732230767,250.0,669.1706,419.1706,366.91306,116.913055,24678.057,24930.123,65839.01,62646.926,13100.37,13100.371,13100.37,3192.082,252.06543
C2,-286604446,250.0,670.65295,420.65295,446.74753,196.74753,24371.02,25642.758,44419.53,35647.12,11576.643,11576.643,11576.643,8772.412,1271.7383
C5,-1058345380,250.0,2877.0735,2627.0735,2508.6775,2258.6775,287600.4,462386.4,554058.7,193860.8,12978.143,12978.142,12978.142,360197.9,174786.0
C3,2097610983,250.0,576.9324,326.93237,533.53156,283.53156,40112.33,42857.395,47713.87,39119.55,13703.999,13703.999,13703.999,8594.32,2745.0664
C5,408255009,250.0,1828.5577,1578.5577,1465.5531,1215.5531,115460.3,187008.83,243322.69,75970.945,14001.962,14001.962,14001.962,167351.73,71548.52
C9,117000257,250.0,1187.6304,937.6304,1180.5745,930.57446,112248.17,133333.52,134249.1,107161.06,13068.048,13068.048,13068.05,27088.031,21085.344
C4,-681037470,250.0,1232.2098,982.20984,1163.1041,913.1041,74658.945,120473.33,129978.15,46963.5,13577.579,13577.579,13577.579,83014.65,45814.383
