# ExperimentSet [id=resultsExperiments/timelinessDisruption/newexp_V16E2D25.0N100TargetRandomServerNodes, localProcessingTime=50.0, masterSeed=123456, meanArrival=25.0, messageDelay=25.0, nEdges=2, nNodes=16, runNumber=100, targetComponent=null]
Target,Seed,ReqTime, quiescenceTime,deltaQT, vcFreenessTime,deltaFT, concurVersTime, deltaCT, workWhenFreenessF, workWhenFreenessM, workWhenQuiescenceQ, workWhenQuiescenceM, workWhenConcurVersFreenessC, workWhenConcurVersFreenessM, workWhenRequestMQFC, lossWorkByQuiescence, lossWorkByVC_Blocking, lossWorkByVC_ConcurVers 
C7,1602222556,250.0,3027.234,2777.234,2604.0698,2354.0698,2604.0698,2354.0698,221551.75,344521.22,120984.78,414295.84,331657.94,344521.25,11029.134,293311.06,122969.47,12863.3125
C14,1124888674,250.0,2468.491,2218.491,2420.428,2170.428,2420.428,2170.428,241234.7,290702.88,231558.06,296676.72,289687.12,290702.88,9111.855,65118.67,49468.188,1015.75
C9,-612012627,250.0,1756.5533,1506.5533,1754.7245,1504.7245,1754.7245,1504.7245,134473.67,154711.53,131272.11,154878.6,154282.9,154711.53,11875.109,23606.484,20237.86,428.625
C8,1996655901,250.0,3878.5554,3628.5554,3828.6816,3578.6816,3828.6816,3578.6816,285155.38,616359.8,155627.97,626249.8,603569.9,616359.8,10384.099,470621.8,331204.4,12789.9375
C10,-1298180151,250.0,2259.409,2009.4089,2306.4944,2056.4944,2306.4944,2056.4944,177556.38,212125.98,168561.86,207242.77,211498.73,212125.98,11356.58,38680.906,34569.61,627.25
C1,80545937,250.0,680.6941,430.6941,573.6186,323.6186,573.6186,323.6186,36280.285,39307.816,41543.63,49752.64,38246.016,39307.816,10802.641,8209.012,3027.5312,1061.8008
C10,-712186726,250.0,1182.9121,932.9121,938.7414,688.7414,938.7414,688.7414,75492.4,79752.72,98799.14,109852.836,79280.91,79752.72,9245.904,11053.695,4260.3203,471.8125
C3,1734157801,250.0,1015.94855,765.94855,1068.8193,818.81934,1068.8193,818.81934,82973.35,94212.74,70061.94,87721.82,92878.5,94212.75,11343.131,17659.883,11239.391,1334.25
C4,1758599912,250.0,3541.9019,3291.9019,2110.7878,1860.7878,2110.7878,1860.7878,185943.14,233175.02,241491.58,431904.34,227541.48,233175.0,10904.526,190412.77,47231.875,5633.5156
C6,1220024408,250.0,2303.2083,2053.2083,2338.721,2088.721,2338.721,2088.721,161846.81,302437.0,80398.08,296691.9,292245.0,302437.03,10751.992,216293.81,140590.19,10192.031
C3,110083800,250.0,2405.8203,2155.8203,2374.7756,2124.7756,2374.7756,2124.7756,188933.42,302345.06,81993.68,307046.97,287433.38,302345.03,10036.058,225053.28,113411.64,14911.656
C1,-2135800093,250.0,1380.2579,1130.2579,469.8211,219.8211,469.8211,219.8211,28557.432,30813.473,85378.52,132803.22,29916.963,30813.475,11028.75,47424.695,2256.039,896.5117
C4,1702456891,250.0,2397.1064,2147.1064,2506.3948,2256.3948,2506.3948,2256.3948,190941.39,286773.1,107979.84,273903.84,277266.22,286773.06,11489.341,165924.0,95831.7,9506.844
C3,-503307268,250.0,962.7316,712.7316,778.44226,528.44226,778.44226,528.44226,41711.18,49471.836,35363.81,65348.402,47457.69,49471.836,9378.2705,29984.594,7760.6562,2014.1445
C2,1213087600,250.0,1420.6672,1170.6672,1895.1566,1645.1566,1895.1566,1645.1566,130250.16,183150.23,63285.098,131313.94,176832.77,183150.23,9409.943,68028.84,52900.086,6317.4688
C7,-1081705337,250.0,1812.5338,1562.5338,1841.0223,1591.0223,1841.0223,1591.0223,168088.08,204960.47,142924.92,201418.89,202707.31,204960.47,9728.038,58493.97,36872.39,2253.1562
C7,-2965150,250.0,2423.9355,2173.9355,2391.9,2141.9,2391.9,2141.9,204805.64,308172.56,171879.75,312629.3,303858.03,308172.6,11023.956,140749.55,103366.91,4314.5625
C3,-1128452549,250.0,1454.2854,1204.2854,1468.6555,1218.6555,1468.6555,1218.6555,96778.875,131614.36,52347.973,129990.01,125800.375,131614.36,10250.76,77642.04,34835.484,5813.9844
C13,-528027027,250.0,3584.2222,3334.2222,3479.2214,3229.2214,3479.2214,3229.2214,417171.84,533990.06,417363.66,552969.6,532514.5,533990.0,9359.13,135605.97,116818.22,1475.5
C11,1980218242,250.0,982.0881,732.0881,986.2554,736.2554,986.2554,736.2554,74826.766,82168.12,73100.51,81663.75,81643.766,82168.12,10380.655,8563.242,7341.3516,524.35156
